image,mean_iou,n_classes
image_0.png,0.5578269511035501,11
image_1.png,0.6267711373909434,11
image_2.png,0.5308628561890172,9
image_3.png,0.5367193994197437,12
image_4.png,0.5916813642015647,11
image_5.png,0.572812668426104,10
image_6.png,0.5224331204078608,14
image_7.png,0.5135319820645571,10
image_8.png,0.5018126439913716,13
image_9.png,0.5550604358152753,13
image_10.png,0.4932883254558166,13
image_11.png,0.5583323518026115,13
image_12.png,0.7309750498244156,11
image_13.png,0.5349206446437708,14
image_14.png,0.5131252681366987,13
image_15.png,0.45746548094799905,12
image_16.png,0.5648845076135001,11
image_17.png,0.6306625406115706,13
image_18.png,0.6123379663041948,10
image_19.png,0.64691047666719,10
image_20.png,0.6647518058459668,12
image_21.png,0.7245614354981,9
image_22.png,0.45677776058037406,13
image_23.png,0.4570074281556289,12
image_24.png,0.6270746796344143,12
image_25.png,0.49834363299358536,13
image_26.png,0.41071353825224316,13
image_27.png,0.4999919474795926,11
image_28.png,0.4275850309030121,12
image_29.png,0.5571712970327954,10
image_30.png,0.4764267376577371,12
image_31.png,0.5683639827930899,12
image_32.png,0.6896295979035644,13
image_33.png,0.6665958949241774,12
image_34.png,0.44330818513085374,11
image_35.png,0.55123874716311,12
image_36.png,0.7391380735605925,12
image_37.png,0.7643587534177664,12
image_38.png,0.5900231807622703,12
image_39.png,0.447413417055536,13
image_40.png,0.6301606296020587,11
image_41.png,0.5164340146766496,12
image_42.png,0.5492890461495866,8
image_43.png,0.776059157270893,10
image_44.png,0.4983286504492518,13
image_45.png,0.7541835955401861,9
image_46.png,0.451872571925242,10
image_47.png,0.6555264071401902,13
image_48.png,0.54137582777953,13
image_49.png,0.6551541192259658,10
