Classe,IoU
Background,0.9851244950226119
Skirt,0.9432135010787859
Pants,0.9115724744981902
Upper-clothes,0.8865468143247519
Hat,0.8573792808904787
Face,0.8385993370477467
Scarf,0.818797137884355
Hair,0.8058020166506352
Dress,0.804796029592523
Bag,0.7377666659388169
Sunglasses,0.7038824303575345
Belt,0.5615929800877489
Left-leg,0.4268160888673474
Left-arm,0.34733435319709605
Right-arm,0.34283858455007865
Left-shoe,0.3142053991179179
Right-leg,0.24387580790025185
Right-shoe,0.20447201277717936
